receiver_pseudo,sender_pseudo,msgs,attacks,fused_hits,fp,fn
104595,104775,13,0,0,0,0
104595,105555,14,0,0,0,0
104595,105675,16,0,0,0,0
104595,106395,13,0,0,0,0
104655,101113,16,0,0,0,0
104655,101774,14,0,0,0,0
104655,103815,17,0,0,0,0
104655,105075,15,0,0,0,0
104655,105315,15,0,0,0,0
104655,105795,12,0,0,0,0
104655,106275,16,0,0,0,0
104655,106935,42,0,0,0,0
104715,101954,15,0,0,0,0
104715,102975,12,0,0,0,0
104715,103515,250,0,0,0,0
104715,104475,14,0,0,0,0
104715,105015,5,0,0,0,0
104715,105075,11,0,0,0,0
104715,105135,49,0,0,0,0
104715,105795,13,0,0,0,0
104715,106215,18,0,0,0,0
104715,106275,17,0,0,0,0
104715,106575,2,0,0,0,0
104715,106635,22,0,0,0,0
104775,101113,11,0,0,0,0
104775,101173,10,0,0,0,0
104775,101954,11,0,0,0,0
104775,102074,11,0,0,0,0
104775,102195,6,0,0,0,0
104775,102315,5,0,0,0,0
104775,102375,10,0,0,0,0
104775,102675,8,0,0,0,0
104775,103215,4,0,0,0,0
104775,103335,13,0,0,0,0
104775,103815,16,0,0,0,0
104775,103995,45,0,0,0,0
104775,104235,6,0,0,0,0
104775,104475,12,0,0,0,0
104775,104595,13,0,0,0,0
104775,104835,14,0,0,0,0
104775,105975,12,0,0,0,0
104775,106575,12,0,0,0,0
104775,106815,12,0,0,0,0
104775,107231,6,0,0,0,0
104835,101293,15,0,0,0,0
104835,101834,20,0,0,0,0
104835,102315,14,0,0,0,0
104835,102795,18,0,0,0,0
104835,103995,3,0,0,0,0
104835,104295,14,0,0,0,0
104835,104775,14,0,0,0,0
104835,105615,17,0,0,0,0
104895,10752,23,0,0,0,0
104895,102315,20,0,0,0,0
104895,102615,12,0,0,0,0
104895,103275,13,0,0,0,0
104895,103875,14,0,0,0,0
104895,104115,60,0,0,0,0
104895,104535,9,0,0,0,0
104895,105075,9,0,0,0,0
104895,105255,24,0,0,0,0
104895,105315,8,0,0,0,0
104895,106095,13,0,0,0,0
104895,106515,39,0,0,0,0
104955,101113,13,0,0,0,0
104955,101774,14,0,0,0,0
104955,101954,14,0,0,0,0
104955,103335,1,0,0,0,0
104955,103815,11,0,0,0,0
104955,104475,14,0,0,0,0
104955,104655,106,0,0,0,0
104955,105015,14,0,0,0,0
104955,106575,12,0,0,0,0
105015,101954,35,0,0,0,0
105015,103515,12,0,0,0,0
105015,103995,1,0,0,0,0
105015,104475,1,0,0,0,0
105015,104715,6,0,0,0,0
105015,105135,16,0,0,0,0
105015,106575,57,0,0,0,0
105075,101173,14,0,0,0,0
105075,102315,19,0,0,0,0
105075,102615,13,0,0,0,0
105075,102975,14,0,0,0,0
105075,103515,12,0,0,0,0
105075,104295,13,0,0,0,0
105075,104655,15,0,0,0,0
105075,104715,11,0,0,0,0
105075,104895,8,0,0,0,0
105075,105255,7,0,0,0,0
105075,105795,62,0,0,0,0
105075,106335,12,0,0,0,0
105075,106515,40,0,0,0,0
105075,106635,15,0,0,0,0
105075,106815,6,0,0,0,0
105135,101113,15,0,0,0,0
105135,101774,13,0,0,0,0
105135,101894,5,0,0,0,0
105135,102975,16,0,0,0,0
105135,103155,10,0,0,0,0
105135,103515,78,0,0,0,0
105135,104475,13,0,0,0,0
105135,104715,49,0,0,0,0
105135,105015,16,0,0,0,0
105135,105435,6,0,0,0,0
105135,106575,10,0,0,0,0
105135,106635,11,0,0,0,0
105135,106815,3,0,0,0,0
105195,101233,14,0,0,0,0
105195,103335,21,0,0,0,0
105195,104295,13,0,0,0,0
105195,105555,13,0,0,0,0
105195,105915,9,0,0,0,0
105195,106815,13,0,0,0,0
105255,10752,292,0,0,0,0
105255,102195,16,0,0,0,0
105255,102375,5,0,0,0,0
105255,102615,560,0,0,0,0
105255,103275,12,0,0,0,0
105255,103995,13,0,0,0,0
105255,104535,98,0,0,0,0
105255,105075,7,0,0,0,0
105255,105975,11,0,0,0,0
105255,107170,32,0,0,0,0
105255,107291,236,0,0,0,0
105315,101173,14,0,0,0,0
105315,101413,5,0,0,0,0
105315,102315,15,0,0,0,0
105315,102615,14,0,0,0,0
105315,103875,14,0,0,0,0
105315,104115,8,0,0,0,0
105315,104655,14,0,0,0,0
105315,104895,8,0,0,0,0
105315,105795,4,0,0,0,0
105315,106275,1,0,0,0,0
105315,106335,15,0,0,0,0
105315,106515,36,0,0,0,0
105315,106635,13,0,0,0,0
105315,106815,15,0,0,0,0
105315,106935,18,0,0,0,0
105375,10873,13,0,0,0,0
105375,103335,21,0,0,0,0
105435,10873,13,0,0,0,0
105435,101113,16,0,0,0,0
105435,101654,15,0,0,0,0
105435,101774,13,0,0,0,0
105435,101894,12,0,0,0,0
105435,102014,10,0,0,0,0
105435,102855,2,0,0,0,0
105435,103155,117,0,0,0,0
105435,103695,2,0,0,0,0
105435,103995,15,0,0,0,0
105435,104295,9,0,0,0,0
105435,105135,6,0,0,0,0
105435,106215,2,0,0,0,0
105435,107055,13,0,0,0,0
105495,104535,9,0,0,0,0
105555,101233,143,0,0,0,0
105555,102074,43,0,0,0,0
105555,102135,102,0,0,0,0
105555,103335,17,0,0,0,0
105555,104415,14,0,0,0,0
105555,104595,14,0,0,0,0
105555,105195,12,0,0,0,0
105555,105675,14,0,0,0,0
105555,105915,53,0,0,0,0
105615,101293,2,0,0,0,0
105615,101834,10,0,0,0,0
105615,101894,1,0,0,0,0
105615,104235,16,0,0,0,0
105615,104295,15,0,0,0,0
105615,104835,16,0,0,0,0
105615,105855,12,0,0,0,0
105615,106455,23,0,0,0,0
105615,107055,18,0,0,0,0
105675,101233,15,0,0,0,0
105675,102074,21,0,0,0,0
105675,102135,22,0,0,0,0
105675,102855,17,0,0,0,0
105675,103575,57,0,0,0,0
105675,104595,15,0,0,0,0
105675,105555,14,0,0,0,0
105735,105855,6,0,0,0,0
105735,106215,1,0,0,0,0
105795,101173,12,0,0,0,0
105795,102615,17,0,0,0,0
105795,103275,9,0,0,0,0
105795,103515,11,0,0,0,0
105795,104655,12,0,0,0,0
105795,104715,13,0,0,0,0
105795,105075,62,0,0,0,0
105795,105315,4,0,0,0,0
105795,106335,14,0,0,0,0
105795,106515,22,0,0,0,0
105795,106635,13,0,0,0,0
105795,106935,3,0,0,0,0
105855,102915,4,0,0,0,0
105855,103515,1,0,0,0,0
105855,104055,17,0,0,0,0
105855,105615,12,0,0,0,0
105855,105735,6,0,0,0,0
105855,106035,24,0,0,0,0
105855,106215,17,0,0,0,0
105915,101834,13,0,0,0,0
105915,103335,14,0,0,0,0
105915,104415,13,0,0,0,0
105915,105555,52,0,0,0,0
105915,105615,4,0,0,0,0
105975,101954,10,0,0,0,0
105975,102195,6,0,0,0,0
105975,102375,15,0,0,0,0
105975,103995,16,0,0,0,0
105975,104475,17,0,0,0,0
105975,104775,12,0,0,0,0
105975,105255,12,0,0,0,0
106035,106215,1,0,0,0,0
106095,104535,9,0,0,0,0
106095,104895,17,0,0,0,0
106095,106515,1,0,0,0,0
106095,106815,13,0,0,0,0
106155,101834,16,0,0,0,0
106155,102915,16,0,0,0,0
106155,103035,24,0,0,0,0
106155,106395,13,0,0,0,0
106155,106695,14,0,0,0,0
106215,10873,14,0,0,0,0
106215,102014,4,0,0,0,0
106215,102855,7,0,0,0,0
106215,103155,3,0,0,0,0
106215,103515,21,0,0,0,0
106215,103695,3,0,0,0,0
106215,103995,13,0,0,0,0
106215,104295,6,0,0,0,0
106215,104715,18,0,0,0,0
106215,105435,3,0,0,0,0
106215,105735,1,0,0,0,0
106215,105855,17,0,0,0,0
106215,106035,1,0,0,0,0
106215,107055,8,0,0,0,0
106275,103515,17,0,0,0,0
106275,104655,17,0,0,0,0
106275,105315,1,0,0,0,0
106275,106515,14,0,0,0,0
106275,106635,11,0,0,0,0
106275,106935,16,0,0,0,0
106335,102375,2,0,0,0,0
106335,102615,1,0,0,0,0
106335,105075,11,0,0,0,0
106335,105315,15,0,0,0,0
106335,105795,14,0,0,0,0
106335,106995,5,0,0,0,0
106395,101834,18,0,0,0,0
106395,102074,14,0,0,0,0
106395,102915,17,0,0,0,0
106395,103035,15,0,0,0,0
106395,104595,13,0,0,0,0
106455,10873,14,0,0,0,0
106455,101714,17,0,0,0,0
106455,102795,16,0,0,0,0
106455,103695,7,0,0,0,0
106455,104295,15,0,0,0,0
106455,105615,22,0,0,0,0
